,与CO相关系数
14#风箱平均温度,-0.24555331409684575
11#风箱负压,-0.2247459028883196
10#风箱负压,-0.2247459028883196
15#风箱平均温度,-0.22358510347520624
12#风箱负压,-0.21769235067297707
13#风箱负压,-0.21769235067297707
7#风箱平均温度,0.21741598974311482
6#风箱平均温度,0.21033286951384533
1#大烟道负压,-0.20961001296479703
6#风箱负压,-0.2079212966436286
7#风箱负压,-0.2079212966436286
8#风箱负压,-0.2038705293047932
9#风箱负压,-0.2038705293047932
13#风箱平均温度,-0.1963017520452125
2#大烟道负压,-0.1932803374816961
4#风箱平均温度,0.18855682044658562
15#风箱负压,-0.18315708086056817
14#风箱负压,-0.18315708086056817
8#风箱平均温度,0.17185131178654933
16#风箱平均温度,-0.1709989750691165
1#大烟道温度,-0.15732793787700983
3#风箱平均温度,0.15399221156207085
2#风箱平均温度,0.10906818551176266
12#风箱平均温度,-0.10525477725318887
16#风箱负压,-0.0942836493906466
2#风箱负压,-0.09101143478591134
17#风箱平均温度,-0.08942540873875947
1#风箱负压,-0.0830986134008079
17#风箱负压,-0.07404896955605178
1#风箱平均温度,0.07339196991987483
18#风箱平均温度,-0.07171129211362563
2#大烟道温度,-0.07070200455155637
9#风箱平均温度,0.06892324825439987
18#风箱负压,-0.06558340144941563
5#风箱负压,-0.0580712489236731
4#风箱负压,-0.0580712489236731
5#风箱平均温度,0.0515035019783853
3#风箱负压,-0.04391029102068506
11#风箱平均温度,-0.0352703167861654
烧结机机速L1设定,-0.028255934155396397
10#风箱平均温度,0.007175126264235153
