target,model,mae,rmse,r2
1#风箱平均温度,state_neighbor_lag_Ridge,0.8499889458213838,3.474435285022883,0.7010403714866495
10#风箱平均温度,state_neighbor_lag_Ridge,1.3675388317230857,3.024969786302212,0.9388286272000405
11#风箱平均温度,state_neighbor_lag_Ridge,5.38567344968594,8.795081014974663,0.9088038513579886
12#风箱平均温度,state_neighbor_lag_Ridge,13.238310258443034,18.464867130288127,0.8757195784452583
13#风箱平均温度,state_neighbor_lag_RandomForest,18.869472316340367,23.58496587574551,0.8755594767609924
14#风箱平均温度,state_neighbor_lag_GradientBoosting,15.223858205667096,19.32293855974146,0.8774764703926483
15#风箱平均温度,state_neighbor_lag_Ridge,7.124253721690179,9.96863559760798,0.914872640431286
16#风箱平均温度,state_neighbor_lag_Ridge,6.373441427861272,10.47591885351326,0.8413976240592047
17#风箱平均温度,state_neighbor_lag_Ridge,6.924500301161783,12.458534073265158,0.7869290386505083
18#风箱平均温度,state_neighbor_lag_Ridge,4.455877892223535,9.34959647162454,0.8874126798424682
2#风箱平均温度,state_neighbor_lag_Ridge,0.5554757130874424,1.2775430700337684,0.9033121488030836
3#风箱平均温度,state_neighbor_lag_Ridge,0.3694728921773024,0.5892142350892434,0.9334041889458204
4#风箱平均温度,state_neighbor_lag_Ridge,0.3454687278622393,0.6425404883240068,0.9185721922370952
5#风箱平均温度,state_neighbor_lag_GradientBoosting,1.7056817537442492,2.3008121127654744,0.9098650144580254
6#风箱平均温度,state_neighbor_lag_Ridge,0.5558660760012111,0.9123426865157966,0.889093008256234
7#风箱平均温度,state_neighbor_lag_Ridge,0.340825234222287,0.8371990388190969,0.8869960984131781
8#风箱平均温度,state_neighbor_lag_Ridge,0.3867976491204273,1.1831869051972252,0.842055387650572
9#风箱平均温度,state_neighbor_lag_Ridge,0.6932803274776089,1.9774164610864875,0.8760505980899476
