模型用途,model,mae,rmse,r2
实时监测,filtered_monitor_lag1_5_10_RandomForest,114.19701347995604,200.4825312926294,0.8380248231528344
实时监测,filtered_monitor_lag1_5_10_Ridge,143.05877855964383,237.58818297915863,0.7725190355080975
实时监测,filtered_monitor_lag1_5_10_GradientBoosting,142.8251828123156,238.0353425957484,0.7716619556450858
实时监测,filtered_monitor_lag1_5_10_LinearRegression,206.83481856594108,413.18344555040414,0.3120114436664788
调控优化,filtered_lag0_GradientBoosting,368.1196232290146,475.62218885085866,0.0819840408169033
调控优化,filtered_lag5_10_20_GradientBoosting,378.306843208963,478.0312123694174,0.0791097031257659
调控优化,filtered_lag5_10_20_RandomForest,384.5375931586144,492.4137472180852,0.0228623963733688
调控优化,filtered_lag0_RandomForest,375.5156835240391,492.6674073210108,0.0150057818456376
调控优化,raw_lag0_RandomForest,383.5616407766202,504.2621393999979,-0.0377272181759777
